Catalogue number,State,Country,county,latitude,longitude,Zones,Taxon
UMMZ 76271,MI,USA,Livingston county,42.6208,-83.8473,Closed Woodlands,Odocoileus virginianus
UMMZ 79567,MI,USA,Livingston county,42.6208,-83.8473,Closed Woodlands,Odocoileus virginianus
UMMZ 79568,MI,USA,Livingston county,42.6208,-83.8473,Closed Woodlands,Odocoileus virginianus
UMMZ 79568,MI,USA,Livingston county,42.6208,-83.8473,Closed Woodlands,Odocoileus virginianus
UMMZ 80206,MI,USA,Livingston county,42.6208,-83.8473,Closed Woodlands,Odocoileus virginianus
UMMZ 80209,MI,USA,Livingston county,42.6208,-83.8473,Closed Woodlands,Odocoileus virginianus
UMMZ 80212,MI,USA,Livingston county,42.6208,-83.8473,Closed Woodlands,Odocoileus virginianus
UMMZ 80213,MI,USA,Livingston county,42.6208,-83.8473,Closed Woodlands,Odocoileus virginianus
UMMZ 81135,MI,USA,Livingston county,42.6208,-83.8473,Closed Woodlands,Odocoileus virginianus
UMMZ 81137,MI,USA,Livingston county,42.6208,-83.8473,Closed Woodlands,Odocoileus virginianus
UMMZ 81138,MI,USA,Livingston county,42.6208,-83.8473,Closed Woodlands,Odocoileus virginianus
UMMZ 81139,MI,USA,Livingston county,42.6208,-83.8473,Closed Woodlands,Odocoileus virginianus
UMMZ 81161,MI,USA,Livingston county,42.6208,-83.8473,Closed Woodlands,Odocoileus virginianus
UMMZ 81648,MI,USA,Livingston county,42.6208,-83.8473,Closed Woodlands,Odocoileus virginianus
UMMZ 81648,MI,USA,Livingston county,42.6208,-83.8473,Closed Woodlands,Odocoileus virginianus
UMMZ 81720,MI,USA,Livingston county,42.6208,-83.8473,Closed Woodlands,Odocoileus virginianus
UMMZ 91097,MI,USA,Livingston county,42.6208,-83.8473,Closed Woodlands,Odocoileus virginianus
UMMZ 92273,MI,USA,Livingston county,42.6208,-83.8473,Closed Woodlands,Odocoileus virginianus
UMMZ 97528,FL,USA,Monroe county,25.2974,-81.0755,Wet Plains,Odocoileus virginianus
UMMZ 97529,FL,USA,Monroe county,25.2974,-81.0755,Wet Plains,Odocoileus virginianus
UMMZ81136,MI,USA,Livingston county,42.6208,-83.8473,Closed Woodlands,Odocoileus virginianus
