Catalogue number,State,Country,county,latitude,longitude,Zones,Taxon
UF 20752,FL,USA,Monroe county,25.2974,-81.0755,Wet Plains,Odocoileus virginianus
UF 24017,FL,USA,Collier county,26.087964,-81.3794941,Wet Plains,Odocoileus virginianus
UF 25430,FL,USA,Collier county,26.087964,-81.3794941,Wet Plains,Odocoileus virginianus
UF 30365,PA,USA,Pike county,41.3362,-75.0611,Closed Woodlands,Odocoileus virginianus
UF 3262,FL,USA,Putnam county,29.6265,-81.7787,Wet Plains,Odocoileus hemionus 
UF 3268,FL,USA,Levy county,29.3008632,-82.7824592,Wet Plains,Odocoileus hemionus 
UF 4991,FL,USA,Collier county,26.087964,-81.3794941,Wet Plains,Odocoileus hemionus 
UF 4992,FL,USA,Collier county,26.087964,-81.3794941,Wet Plains,Odocoileus hemionus 
UF 4993,FL,USA,Collier county,26.087964,-81.3794941,Wet Plains,Odocoileus hemionus 
UF 4994,FL,USA,Collier county,26.087964,-81.3794941,Wet Plains,Odocoileus hemionus 
UF 4995,FL,USA,Collier county,26.087964,-81.3794941,Wet Plains,Odocoileus virginianus
UF 4998,FL,USA,Collier county,26.087964,-81.3794941,Wet Plains,Odocoileus virginianus
UF 5973,FL,USA,Flagler county,29.4844412,-81.2917415,Wet Plains,Odocoileus virginianus 
UF 8139,ME,USA,Maine,45.709097,-68.8590201,Closed Woodlands,Odocoileus virginianus
UF 8651,FL,USA,Monroe county,25.2974,-81.0755,Wet Plains,Odocoileus virginianus
UF 8651,FL,USA,Monroe county,25.2974,-81.0755,Wet Plains,Odocoileus virginianus
UF 8651,FL,USA,Monroe county,25.2974,-81.0755,Wet Plains,Odocoileus virginianus
UF 8651,FL,USA,Monroe county,25.2974,-81.0755,Wet Plains,Odocoileus virginianus
UF 8724,FL,USA,Collier county,26.087964,-81.3794941,Wet Plains,Odocoileus virginianus
UF 8724,FL,USA,Collier county,26.087964,-81.3794941,Wet Plains,Odocoileus virginianus
UF 8724,FL,USA,Collier county,26.087964,-81.3794941,Wet Plains,Odocoileus virginianus
UF 8724,FL,USA,Collier county,26.087964,-81.3794941,Wet Plains,Odocoileus virginianus
UF 8724,FL,USA,Collier county,26.087964,-81.3794941,Wet Plains,Odocoileus virginianus
UF 8724,FL,USA,Collier county,26.087964,-81.3794941,Wet Plains,Odocoileus virginianus
UF 8724,FL,USA,Collier county,26.087964,-81.3794941,Wet Plains,Odocoileus virginianus
UF 8724,FL,USA,Collier county,26.087964,-81.3794941,Wet Plains,Odocoileus virginianus
UF 8724,FL,USA,Collier county,26.087964,-81.3794941,Wet Plains,Odocoileus virginianus 
UF 8724,FL,USA,Collier county,26.087964,-81.3794941,Wet Plains,Odocoileus virginianus 
UF 8724,FL,USA,Collier county,26.087964,-81.3794941,Wet Plains,Odocoileus virginianus 
UF 8724,FL,USA,Collier county,26.087964,-81.3794941,Wet Plains,Odocoileus virginianus 
UF 8724,FL,USA,Collier county,26.087964,-81.3794941,Wet Plains,Odocoileus virginianus
UF 8724,FL,USA,Collier county,26.087964,-81.3794941,Wet Plains,Odocoileus virginianus
UF 8724,FL,USA,Collier county,26.087964,-81.3794941,Wet Plains,Odocoileus virginianus
UF 8726,FL,USA,Citrus county,28.8512851,-82.5141209,Mixed Plains,Odocoileus virginianus
UF 8726,FL,USA,Citrus county,28.8512851,-82.5141209,Mixed Plains,Odocoileus virginianus
UF 8726,FL,USA,Citrus county,28.8512851,-82.5141209,Mixed Plains,Odocoileus virginianus
UF 8728,FL,USA,Levy county,29.3008632,-82.7824592,Wet Plains,Odocoileus virginianus
UF 8728,FL,USA,Levy county,29.3008632,-82.7824592,Wet Plains,Odocoileus virginianus
UF 8728,FL,USA,Levy county,29.3008632,-82.7824592,Wet Plains,Odocoileus virginianus
UF 8728,FL,USA,Levy county,29.3008632,-82.7824592,Wet Plains,Odocoileus virginianus
UF 8728,FL,USA,Levy county,29.3008632,-82.7824592,Wet Plains,Odocoileus virginianus
UF 8729,FL,USA,Okaloosa county,30.6765961,-86.6037748,Mixed Plains,Odocoileus virginianus
UF 8729,FL,USA,Okaloosa county,30.6765961,-86.6037748,Mixed Plains,Odocoileus virginianus
UF 8729,FL,USA,Okaloosa county,30.6765961,-86.6037748,Mixed Plains,Odocoileus virginianus
UF 8729,FL,USA,Okaloosa county,30.6765961,-86.6037748,Mixed Plains,Odocoileus virginianus
UF 8729,FL,USA,Okaloosa county,30.6765961,-86.6037748,Mixed Plains,Odocoileus virginianus
UF 8729,FL,USA,Okaloosa county,30.6765961,-86.6037748,Mixed Plains,Odocoileus virginianus
UF 8729,FL,USA,Okaloosa county,30.6765961,-86.6037748,Mixed Plains,Odocoileus virginianus
UF 8729,FL,USA,Okaloosa county,30.6765961,-86.6037748,Mixed Plains,Odocoileus virginianus
UF 8729,FL,USA,Okaloosa county,30.6765961,-86.6037748,Mixed Plains,Odocoileus virginianus
UF 8734,FL,USA,Columbia county,30.1813,-82.6051,Wet Plains,Odocoileus virginianus
UF 8734,FL,USA,Columbia county,30.1813,-82.6051,Wet Plains,Odocoileus virginianus
UF 8734,FL,USA,Columbia county,30.1813,-82.6051,Wet Plains,Odocoileus virginianus
UF 8734,FL,USA,Columbia county,30.1813,-82.6051,Wet Plains,Odocoileus virginianus
UF 8734,FL,USA,Columbia county,30.1813,-82.6051,Wet Plains,Odocoileus virginianus
UF 8734,FL,USA,Columbia county,30.1813,-82.6051,Wet Plains,Odocoileus virginianus
UF 8736,FL,USA,Levy county,29.3008632,-82.7824592,Wet Plains,Odocoileus virginianus
UF 8736,FL,USA,Levy county,29.3008632,-82.7824592,Wet Plains,Odocoileus virginianus
UF 8736,FL,USA,Levy county,29.3008632,-82.7824592,Wet Plains,Odocoileus virginianus
UF 8736,FL,USA,Levy county,29.3008632,-82.7824592,Wet Plains,Odocoileus virginianus
UF 8736,FL,USA,Levy county,29.3008632,-82.7824592,Wet Plains,Odocoileus virginianus
UF 8736,FL,USA,Levy county,29.3008632,-82.7824592,Wet Plains,Odocoileus virginianus
UF 8736,FL,USA,Levy county,29.3008632,-82.7824592,Wet Plains,Odocoileus virginianus
UF 8736,FL,USA,Levy county,29.3008632,-82.7824592,Wet Plains,Odocoileus virginianus
UF 8736,FL,USA,Levy county,29.3008632,-82.7824592,Wet Plains,Odocoileus virginianus
