Catalogue Number,Taxon,date ,ecological zone,Zones,meanannual,subspecies,State,county,Sex,Mesowear Score m1 (R),Part Scored,Mesowear Score m1 (L),Part Scored,AverageMSm1,Mesowear Score m2 (R),Part Scored,Mesowear Score m2 (L),Part Scored,AverageMSm2,Mesowear Score m3 (R),Part Scored,Mesowear Score m3 (L),AverageMSm3,Part Scored,Mesowear Score M1 (R),Part Scored,Mesowear Score M1 (L),Part Scored,Mesowear Score M2 (R),Part Scored,Mesowear Score M2 (L),part scored,Mesowear score M3 (R),Part Scored,Mesowear Score M3 (L),Part Scored,Man m3 Width mm,Man m3 Height mm,Man m2 width ,Man m2 Height ,Man m1 width ,Man m1 Height ,m2 mesiodistal length (R),m2 mesiodistal length (L),m3 mesiodistal length (R),m3 mesiodistal length (L),HIm3,HIm2,HIm1,Height / Mesiodistal Length m2,Left Premolar Row Length (Maxilla) mm,Left Premolar Row Length (Mandible) mm,Skull Length mm,Muzzle Width mm,Palate Width mm,Anterior Jaw Maxilla mm,Anterior Jaw Mandible mm,Length of Molar Row (L Man) (mm),Height of Man behind M3 L (mm),Height of Man infront M1 L (mm),Length of L Man (mm),gonion ventrale–coronion L Man (mm),
 LACM 52362,Odocoileus virginianus ,,14.5.2,Closed Woodlands,,,Mexico,"Nayarit, Tres Marias Islands",F,1,entoconid,,,1,1,metaconid,1,metaconid,1,1,metaconid,1,1,metaconid,0,metacone,1,metacone,1,metacone,1,metacone,1,paracone,1,paracone,8.83,9.8,8.95,8.23,7.97,7.26,13.4,,17.25,,1.109852775,0.919553073,0.910915935,0.614179104,26.42,25.56,218.89,27.93,39.61,67.05,52.48,40.12,23.99,16.05,164.33,85.05,
 LACM 54167,Odocoileus hemionus ,,6.2.10,Open Woodlands,621,,MT,"Beaverhead, county, Red Rock Refuge, lakeview",M,1,metaconid,1,metaconid,1,1,metaconid,1,metaconid,1,0,entoconid,0,0,entoconid,1,paracone,1,paracone,1,paracone,1,paracone,0,paracone,0,paracone,10.11,12.46,10.7,12.2,9.1,6.49,19.5,,22.73,,1.232443126,1.140186916,0.713186813,0.625641026,36.83,35.48,305.87,51.98,62.81,102.47,84.27,54.02,29.79,26.23,236.32,118.07,
 LACM 54514,Odocoileus virginianus,,14.5.2,Closed Woodlands,,,Mexico,"Colima, Mixcuate, 11 miles west of Colima",M,1,metaconid,,,1,1,metaconid,1,metaconid,1,1,entoconid,1,1,entoconid,1,paracone,1,paracone,,,1,paracone,0,paracone,0,metacone,8.82,11.04,8.36,9.75,7.51,6.91,13.15,,15.59,,1.25170068,1.166267943,0.920106525,0.741444867,28.61,28.58,221.43,29.18,38.07,67.01,53.27,41.8,26.37,15.59,172.25,80.95,
 LACM 54515,Odocoileus virginianus,,14.5.2,Closed Woodlands,,,Mexico,"colima, mixcuate, 11 mi W of comala",F,1,metaconid,1,metaconid,1,1,entoconid,1,entoconid,1,0,entoconid,0,0,entoconid,1,paracone,1,paracone,,,1,paracone,1,paracone,1,paracone,8.06,9.66,8.01,8.5,7.27,7.88,12.47,,16.21,,1.198511166,1.061173533,1.083906465,0.681635926,27.42,24.6,218.51,29.8,36.41,68.69,56.35,40.02,24.83,16.45,170.05,77.96,
 LACM 54516,Odocoileus virginianus,,14.5.2,Closed Woodlands,,,Mexico,"colima, mixcuate, 11 mi W of comala",M,1,metaconid,1,metaconid,1,1,metaconid,1,metaconid,1,1,metaconid,1,1,metaconid,1,paracone,1,paracone,,,1,metacone,0,paracone,1,paracone,8.6,9.02,8.76,9.22,7.26,7.05,14.04,,16.85,,1.048837209,1.052511416,0.97107438,0.656695157,28.65,26.83,231.57,33.16,39.98,71.02,62.48,43.18,28.8,19.62,177.72,90.44,
 LACM 54518,Odocoileus virginianus,,14.5.2,Closed Woodlands,,,Mexico,"colima, 7 mi NE of La Cotradia ",M,0,entoconid,0,entoconid,0,0,metaconid,0,metaconid,0,0,entoconid,1,0.5,metaconid,0,metacone,0,metacone,1,paracone,1,paracone,1,paracone,1,paracone,9.47,11.1,9.64,10.58,8.19,8.83,13.97,,17.43,,1.172122492,1.097510373,1.078144078,0.757337151,30.75,28.57,233.17,32.07,39.98,71.6,62.47,46.38,28.34,18.58,181.52,84.51,
 LACM 54776,Odocoileus hemionus ,,,,,,,,,,,,,,,,,,,,,,,,,,1,metacone,,,1,metacone,,,0,paracone,,,14.36,13.56,,,,,,,,0.944289694,,,,,,,,,,,,,,,
 LACM 84002,Odocoileus hemionus ,,11.1.1,Open Woodlands,548,,CA,"Los Angeles County, Azusa, 12 miles north",M,1,entoconid,,,1,1,metaconid,1,metaconid,1,1,entoconid,0,0.5,entoconid,1,paracone,1,paracone,1,metacone,1,paracone,0,paracone,1,paracone,9.62,,10.2,13.58,8.83,9.54,18.7,,22.07,,,1.331372549,1.080407701,0.726203209,35.29,35.25,265.76,44.76,46.31,81.62,69.2,53.07,25.44,19.62,,,
 LACM 92617,Odocoileus virginianus,,5.3.1,Closed Woodlands,1200,,ME,Bidgelow Mountains,M,1,entoconid,1,entoconid,1,1,metaconid,1,metaconid,1,0,entoconid,0,0,entoconid,1,metacone,1,metacone,0,metacone,0,paracone,0,paracone,0,paracone,9.67,9.15,9.93,9.14,8.06,5.25,16.34,,20.09,,0.94622544,0.920443102,0.651364764,0.559363525,32.58,32.66,,30.46,46.88,,68.8,47.02,29.82,21.5,206.46,88.08,
 LACM 92619,Odocoileus virginianus,,8.3.1,Mixed Plains,1097,,PA,"Delaware county, Newtown",M,,,1,entoconid,1,,,0,metaconid,0,1,metaconid,1,1,metaconid,,,1,metacone,,,0,metacone,0,metacone,1,paracone,12.22,12.58,11.8,12.32,9.77,9.71,16.74,,22.78,,1.029459902,1.044067797,0.993858751,0.735961768,35.57,34.13,320.4,46.16,54.48,99.44,79.96,54.45,33.03,27.32,233.81,130.39,
 LACM M614,Odocoileus hemionus ,,11.1,Open Woodlands,548,,Mexico,Cerros Island,F,,,1,metaconid,1,,,1,metaconid,1,,,0,0,metaconid,1,metacone,1,entoconid,1,metaconid,1,entoconid,1,entoconid,1,metacone,9.36,11.13,9.74,10.05,8.18,7.37,,15.23,,16.47,1.189102564,1.031827515,0.900977995,,31.09,30.43,231.78,34.38,46.24,76.3,,43.72,24.2,18.65,,90.51,
 UMMZ 61142,Odocoileus virginianus,,8.1.6,Closed Woodlands,862,,MI,Calhoun county,m,,,,,,,,,,,,,,,,,,0,,,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FMNH 105751,Odocoileus virginianus,,8.2.1,Mixed Woodlands,813,borealis,wisconsin,wisconsin deer management unit #67,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.67,14.5,9.84,11.97,9.36,9.3,15.13,,19.75,,1.499482937,1.216463415,0.993589744,0.791143424,,,,,,,,,,,,,
FMNH 105752,Odocoileus virginianus,,5.2.1,Closed Woodlands,768,borealis,wisconsin,Florence county,M,1,metaconid,1,entoconid,1,1,meta,1,metaconid,1,0,metaconid,0,0,metaconid,1,metacone,1,metacone,0,metacone,0,metacone,0,metacone,0,paracone,11.63,13.52,12.39,12.77,10.5,9.38,17.48,,22.04,,1.162510748,1.030669895,0.893333333,0.730549199,34.08,33.42,290.67,52.05,53.11,96.41,84.68,53.62,37.34,26.02,229.97,113.37,
FMNH 105754,Odocoileus virginianus,,8.2.1,Mixed Woodlands,813,borealis,wisconsin,wisconsin deer management unit #67,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,14.39,10.8,13.21,10.17,10.53,16.85,,20.02,,1.37047619,1.223148148,1.03539823,0.783976261,,,,,,,,,,,,,
FMNH 105756,Odocoileus virginianus,,,,,borealis,wisconsin,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.12,14.86,11.02,14,8.74,11.5,16.6,,19.07,,1.468379447,1.270417423,1.315789474,0.843373494,,,,,,,,,,,,,
FMNH 105757,Odocoileus virginianus,,,,,borealis,wisconsin,,M,1,metaconid,1,metaconid,1,0,meta,0,metaconid,0,0,entoconid,0,0,metaconid,1,metacone,1,metacone,1,metacone,,,1,paracone,1,paracone,9.75,12.18,9.96,10.75,9.02,9.27,14.78,,18.66,,1.249230769,1.079317269,1.027716186,0.727334235,31.45,28.59,284.02,48.9,51.93,94.36,83.63,46.63,30.84,24,224.11,113.56,
FMNH 105758,Odocoileus virginianus,,8.2.1,Mixed Woodlands,813,borealis,wisconsin,wisconsin deer management unit #35,M,1,metaconid,1,metaconid,1,1,ento,,,1,0,ento,0,0,entoconid,0,metacone,0,metacone,,,0,metacone,,,,,10.11,13.48,11.03,12.37,9.92,10.17,17.62,,20.59,,1.333333333,1.121486854,1.025201613,0.702043133,34.5,32.06,286.21,43.08,45.18,94.87,78.72,52.97,32.2,22.92,219.58,98.16,
FMNH 105759,Odocoileus virginianus,,,,,borealis,wisconsin,,M,1,entoconid,,,1,1,metaconid,0,metaconid,0.5,0,metaconid,0,0,metaconid,1,metacone,1,metacone,,,0,metacone,0,paracone,,,11.01,14.6,11.37,14.71,10.34,12.24,20.98,,22.37,,1.326067212,1.293755497,1.183752418,0.701143947,,,,,,,,,,,,,
FMNH 105760,Odocoileus virginianus,,,,,borealis,wisconsin,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.23,11.22,,,16.58,,,,,1.096774194,,0.676718938,,,,,,,,,,,,,
FMNH 105761,Odocoileus virginianus,,,,,borealis ,wisconsin,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.53,13.73,,,16.5,,,,,1.303893637,,0.832121212,,,,,,,,,,,,,
FMNH 105764,Odocoileus virginianus,,,,,borealis,wisconsin,,M,1,entoconid,1,metaconid,1,0,entoconid,1,metaconid,0.5,0,metaconid,0,0,metaconid,1,paracone,1,paracone,1,paracone,1,paracone,1,paracone,1,paracone,9.62,13.14,10.83,12.44,9.7,10.04,17.08,,19.98,,1.365904366,1.148661127,1.035051546,0.728337237,35.86,31.62,285.87,47.53,55.19,92.55,83.89,50.43,33.17,24.11,222.67,,
FMNH 105769,Odocoileus virginianus,,,,,borealis,wisconsin,,M,1,metaconid,1,entoconid,1,1,metaconid,1,entoconid,1,0,metaconid,0,0,metaconid,1,paracone,1,paracone,0,metacone,1,metacone,0,metacone,0,metacone,10.23,12.15,10.98,12.16,9.46,10.11,16.29,,21.14,,1.187683284,1.107468124,1.068710359,0.746470227,,,,,,,,,,,,,
FMNH 105769,Odocoileus virginianus,,,,,borealis ,wisconsin,,F,1,entoconid,1,metaconid,1,0,metaconid ,1,metaconid,0.5,0,metaconid,1,0.5,metaconid,1,metacone,1,metacone,1,metacone,0,metacone,0,paracone,1,paracone,9.67,11.98,10.55,10.9,9.67,10.11,16.91,,21.45,,1.238883144,1.033175355,1.045501551,0.644589001,35.43,37.63,280.79,41.72,50.99,85.19,68.51,51.02,30.42,20.33,220.75,103.34,
