Catalogue Number,Taxon,date ,ecological zone,Zones,meanannual,subspecies,State,county,Sex,Mesowear Score m1 (R),Part Scored,Mesowear Score m1 (L),Part Scored,AverageMSm1,Mesowear Score m2 (R),Part Scored,Mesowear Score m2 (L),Part Scored,AverageMSm2,Mesowear Score m3 (R),Part Scored,Mesowear Score m3 (L),AverageMSm3,Part Scored,Mesowear Score M1 (R),Part Scored,Mesowear Score M1 (L),Part Scored,Mesowear Score M2 (R),Part Scored,Mesowear Score M2 (L),part scored,Mesowear score M3 (R),Part Scored,Mesowear Score M3 (L),Part Scored,Man m3 Width mm,Man m3 Height mm,Man m2 width ,Man m2 Height ,Man m1 width ,Man m1 Height ,m2 mesiodistal length (R),m2 mesiodistal length (L),m3 mesiodistal length (R),m3 mesiodistal length (L),HIm3,HIm2,HIm1,Height / Mesiodistal Length m2,Left Premolar Row Length (Maxilla) mm,Left Premolar Row Length (Mandible) mm,Skull Length mm,Muzzle Width mm,Palate Width mm,Anterior Jaw Maxilla mm,Anterior Jaw Mandible mm,Length of Molar Row (L Man) (mm),Height of Man behind M3 L (mm),Height of Man infront M1 L (mm),Length of L Man (mm),gonion ventrale–coronion L Man (mm),
FMNH 14460,Odocoileus hemionus ,12-Dec-04,10.2.4,Grassland,340,crooki,Mexico,"coahuila, cuatro cienegas",F,,,,,,1,entoconid,1,entoconid,1,1,metaconid,1,1,metaconid,,,1,metacone,0,paracone,1,metacone,0,metacone,0,paracone,10.39,12.86,11.31,11.02,,,17.33,,22.87,,1.237728585,0.974358974,,0.635891518,37.45,36.28,278.18,52.23,46.92,81.49,72.9,56.3,34.39,23.65,220.35,106.88,
FMNH 14462,Odocoileus hemionus ,12-Dec-04,10.2.4,Grassland,340,crooki,Mexico,"coahuila, cuatro cienegas",M,1,metaconid,1,metaconid,1,1,entoconid,1,metaconid,1,1,metaconid,1,1,metaconid,1,metacone,,metacone,1,metacone,1,metacone,1,paracone,1,paracone,10.1,13.83,10.5,9.18,10.07,8,16.08,,20.2,,1.369306931,0.874285714,0.794438928,0.570895522,36.11,35.27,270.2,49.83,47.49,80.7,65.39,52.37,31.78,18.85,214.71,106.05,
FMNH 14465,Odocoileus hemionus ,6-Dec-04,10.2.4,Grassland,340,crooki,Mexico,"coahuila, cuatro cienegas",M,,,1,entoconid,1,1,entoconid,1,entoconid,1,1,metaconid,1,1,metaconid,1,paracone,1,paracone,1,metacone,,,1,paracone,0,metacone,10.76,14.93,11.26,13.43,9.51,9.49,17.54,,20.79,,1.387546468,1.192717584,0.997896951,0.765678449,35.88,37.85,278.9,50.6,48.5,82.85,68.96,51.63,34.11,23.91,217.93,112.71,
FMNH 1517,Odocoileus hemionus ,early 20th century,,,,hemionus,Montana,,M,,,1,metaconid,1,1,entoconid,1,metaconid,1,,,1,1,metaconid,,,1,metacone,1,metacone,1,metacone,1,metacone,1,metacone,11.2,15.03,11.31,11.29,10.41,8.94,,18.02,,24.48,1.341964286,0.998231653,0.858789625,,38.17,35.16,NA,52.91,51.09,,76.82,57.04,34.39,28.1,226.79,111.44,
FMNH 15976,Odocoileus virginianus,27-Mar-05,,Mixed Woodlands,135,truei,guatemala,"lzabel, los amates ",M,,,,,,1,entoconid,1,entoconid,1,1,metaconid,1,1,metaconid,,,,,1,paracone,1,paracone,1,paracone,1,paracone,8.16,9.5,8.43,8.82,7.98,7.74,12.8,,17.07,,1.164215686,1.046263345,0.969924812,,26.57,26.73,220.49,37.33,36.65,75.33,60.61,40.5,25.59,16.66,172.75,80.49,
FMNH 16001,Odocoileus virginianus,16-Apr-04,14.4.3,Mixed Woodlands,650,oaxacensis,mexico,"oaxaca, reforma",M,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.56,11.49,8.98,11.98,7.95,8.32,13.48,,18.64,,1.34228972,1.334075724,1.046540881,0.888724036,,,,,,,,,,,,,
FMNH 16560,Odocoileus virginianus,,,Mixed Woodlands,1656,,guatemala,"chimaltenago, tecpam",,,,,,,1,metaconid,1,Metaconid,1,,,1,,metaconid,,,,,,,,,1,paracone,1,paracone,9.13,11.53,8.59,9.61,7.56,8.7,13.16,,18.28,,1.26286966,1.118742724,1.150793651,,28.9,26.71,233.4,41.43,42.72,75.72,65.72,42.38,23.65,17.96,173.97,82.26,
FMNH 170889,Odocoileus virginianus,Aug-01,8.1.6,Closed Woodlands,862,borealis,Michigan,"Van Buren county, 42 deg 16' N X 86 deg 17' W",F,1,metaconid,2,metaconid,1.5,,,1,metaconid,1,1,metaconid,1,1,entoconid,1,paracone,1,paracone,1,metacone,1,paracone,1,metacone,0,metacone,10.63,10.71,11.4,9.64,10.29,7.68,16.44,,22.77,,1.00752587,0.845614035,0.746355685,0.586374696,,,,,,,,,,,,,
FMNH 18784,Odocoileus virginianus,13-Apr-11,,Closed Woodlands,145,gymnotis,venezuela,"zulia, sabana empalado",F,1,metaconid,1,metaconid,1,1,metaconid,1,metaconid,1,1,metaconid,1,1,metaconid,1,paracone,1,metacone,1,paracone,1,metacone,0,paracone,0,paracone,10.07,13.2,10.49,12.45,9.49,9.64,16.45,,20.42,,1.31082423,1.186844614,1.015806112,0.756838906,34.82,33.67,238.47,35.92,40.32,73.63,66.06,49.24,31.46,18.03,182.7,95.2,
FMNH 18980,Odocoileus virginianus,11-May-01,,Closed Woodlands,3500,rothschildi,panama,Coiba I,M,,,,,,1,metaconid,1,Metaconid,1,0,metaconid,0,0,metaconid,,,,,1,paracone,1,paracone,1,paracone,1,paracone,8.59,10.79,8.49,9.71,7.29,8.02,12.67,,16.23,,1.256111758,1.143698469,1.100137174,,27.8,24.78,205.34,34.11,39.2,64.2,54.56,38.51,26.65,17.78,159.42,77.82,
FMNH 214510,Odocoileus virginianus,18-Mar-09,8.2.3,Mixed Plains,942,borealis,Illinois,"Cook county, Crabtree nature center neaar Barrington",F,,,,,,1,ento,1, met,1,1,ENTO,1,1,entoconid,1,paracone,1,paracone,1,paracone,1,paracone,1,paracone,1,paracone,9.49,11.77,10.76,11.73,9.39,,15.08,,20.19,,1.240252898,1.090148699,,0.777851459,32.9,33.36,300.32,50.29,51.51,100.83,80.21,49,32.61,24.16,236.46,113.45,
FMNH 214511 ,Odocoileus virginianus,18-Mar-09,8.2.3,Mixed Plains,942,borealis,Illinois,"Cook county, Crabtree nature center neaar Barrington",F,2,metaconid,2,metaconid,2,1,entoconid,1,entoconid,1,1,entoconid,1,1,entoconid,2,metacone,1,paracone,1,metacone,1,met,,,1,metacone,10.22,8.67,10.29,8.28,8.89,6.29,15.43,,20.75,,0.848336595,0.804664723,0.707536558,0.53661698,32.26,31.32,288.13,47.4,53.38,96.57,88.23,48.46,30.13,24.73,226.79,109.41,
FMNH 215513,Odocoileus virginianus,25-Mar-09,8.2.3,Mixed Plains,942,borealis,Illinois,"Cook county,  Busse Woods, Ned Brown Forest Preserve",F,1,metaconid,1,metaconid,1,1,metaconid,1,metaconid,1,1,metaconid,1,1,metaconid,1,metacone,1,met,1,metacone,,,0,metacone,1,metacone,10.29,9.78,10.56,8.8,10.01,7.2,15.39,,21.24,,0.950437318,0.833333333,0.719280719,0.57179987,31.22,28.77,293.77,52.01,49.95,96.34,79.49,50.55,32.85,21.95,231.6,117.36,
FMNH 21805,Odocoileus hemionus ,1919,11.1.3,Mixed Woodlands,525,fuliginatus,Mexico,"baja california, San Pedro Martir Mts, Santa Eulalia",f,,,1,metaconid,1,,,1,metaconid,1,,,1,1,metaconid,,,,,,,,,,,,,9.78,13.19,9.65,11.43,8.01,9.07,15.39,,20.22,,1.348670757,1.184455959,1.132334582,0.742690058,30.17,31.88,253.68,43.59,50.76,82.59,76.63,49.69,27.84,23.33,213.32,NA,
FMNH 44829,Odocoileus virginianus,28-Jan-37,8.1.6,Closed Woodlands,862,borealis,Michigan,"Washtenaw county, George reserve ",F,1,metaconid,1,metaconid,1,1,metaconid,1,metaconid,1,1,metaconid,1,1,metaconid,1,paracone,1,paracone,0,paracone,1,paracone,1,paracone,1,paracone,11.09,11.53,10.51,10.61,9.14,8.29,16.16,,19.36,,1.039675383,1.009514748,0.907002188,0.656559406,,,,,,,,,,,,,
FMNH 47049,Odocoileus virginianus,15-Sep-36,,Mixed Woodlands,,,Ecuador,cordillera de los Llangamates,M,,,,,,1,entoconid,1,Metaconid,1,1,metaconid,1,1,metaconid,,,,,0,metacone,1,metacone,0,paracone,1,paracone,10.15,14.23,10.62,12.18,9.63,10.73,16.58,,20.64,,1.401970443,1.146892655,1.114226376,,36.85,34.86,,,46.3,,67.17,50.35,35.61,23.02,191.42,104.33,
FMNH 47746,Odocoileus virginianus,nov 15 1935,5.2.1,Closed Woodlands,768,borealis,Minnesota,"Red Lake county, Red Lake",M,,,,,,1,metaconid,1,metaconid,1,1,metaconid,1,1,metaconid,1,metacone,1,metacone,1,metacone,1,metacone,1,metacone,1,metacone,10.84,10.2,11.55,10.58,,,17.14,,22.2,,0.94095941,0.916017316,,0.617269545,34.73,31.71,NA,50.19,52.44,NA,86.46,51.74,34.14,23.98,234.66,122.82,
FMNH 48490,Odocoileus virginianus,Aug-38,9.6.1,Grassland,592,miquihuanensis?,Mexico,"Nuevo leon, cerro potosi, near la jolla galeana",M,,,,,,1,metaconid,1,metaconid,1,1,metaconid,1,1,metaconid,,,,,1,metacone,1,metacone,1,paracone,1,paracone,9.85,11.03,10.69,10.43,10.12,6.8,15.56,,20.4,,1.119796954,0.975678204,0.671936759,0.670308483,34.43,32.51,268.6,46.88,45.31,81.39,70.3,51,32.49,24.69,201.03,97.86,
FMNH 48940,Odocoileus virginianus,aug 5 1922,15.4.1,Wet Plains,1338,clavium,FL,Big Pine Key,M,,,1,metaconid,1,,,1,metaconid,1,,,0,0,entoconid,1,metacone,1,metacone,1,metacone,1,metacone,1,paracone,1,paracone,8.46,11.29,8.76,10.39,7.94,9.2,13.67,,16.69,,1.334515366,1.186073059,1.158690176,0.760058522,28.69,28.35,234.83,36.52,45.07,70.98,63.34,42.92,25.02,16.89,177.74,84.34,
FMNH 52504,Odocoileus virginianus,6-Dec-41,,Tropical Mountains,287,peruvianus,peru,"apurimac, Abancay, Quebradab matara, hacienda matara, 2000m ",F,1,metaconid,1,metaconid,1,1,entoconid,1,entoconid,1,1,entoconid,1,1,entoconid,1,metacone,1,metacone,1,paracone,1,paracone,,,0,metacone,8.11,10.15,8.61,9.23,8.07,6.94,12.72,,17.15,,1.251541307,1.072009292,0.859975217,0.725628931,,,,,,,,,,,,,
FMNH 54014,Odocoileus virginianus ,17-Oct-44,5.1.2,Closed Woodlands,800,borealis,"Ontario, CA",Quibell,M,1,metaconid,1,metaconid,1,1,entoconid,1,metaconid,1,1,metaconid,1,1,metaconid,0,metacone,0,metacone,0,metacone,0,metacone,1,paracone,1,paracone,10.72,14.86,10.34,13.66,8.99,9.91,17.25,,22.33,,1.38619403,1.321083172,1.102335929,0.791884058,36.75,34.66,,47.77,49.49,,80.97,53.74,34.07,23.76,226.4,117.19,
FMNH 55662,Odocoileus virginianus,Oct-46,,Grassland,340,,texas,"presidio county, porvenir",,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.72,16.12,,,,,,,23.33,,1.658436214,,,,,36.32,,,,,69.51,54.02,31.17,23.11,205.6,98.6,
FMNH 66406,Odocoileus hemionus ,sept 1898,7.1.8,Closed Woodlands,2149,columbianus,WA,"Clallam county, Olympic mts., Happy Lake",F,2,metaconid,2,entoconid,2,1,metaconid,1,metaconid,1,1,metaconid,1,1,metaconid,2,paracone,2,paracone,1,paracone,1,paracone,1,paracone,0,paracone,9.02,11.53,8.93,10.14,8.89,8.4,14.02,14.82,19.35,19.01,1.27827051,1.13549832,0.94488189,0.723252496,,,,,,,,,,,,,
FMNH 72893,Odocoileus virginianus,12-Nov-51,5.2.1,Closed Woodlands,768,borealis,"Ontario, CA","Burditt Lake, 12 mi N Emo",F,1,entoconid,1,entoconid,1,1,metaconid,1,metaconid,1,1,entoconid,,1,,1,paracone,1,paracone,1,paracone,1,paracone,0,paracone,1,paracone,9.9,12.67,10.06,10.94,8.65,8.23,15.31,,9.24,,1.27979798,1.087475149,0.951445087,0.714565643,34.55,32.84,283.93,50.08,48.54,89.48,74.99,48.91,26.78,21.72,218.66,103.48,
FMNH 7612,Odocoileus virginianus,,10.2.4,Grassland,340,couesi,Mexico,chihuahua Casas grandes,M,,,1,metaconid,1,1,metaconid,,,1,1,metaconid,1,1,metaconid,,,,,,,,,,,,,8.56,12.98,8.59,11.92,,,13.72,,16.95,,1.51635514,1.38766007,,0.868804665,,,,,,,,,,,,,
FMNH 7613,Odocoileus virginianus,,10.2.4,Grassland,340,couesi,Mexico,chihuahua Casas grandes,M,1,metaconid,0,metaconid,0.5,,,0,entoconid,0,,,,,,1,metacone,1,metacone,,,,,1,paracone,1,paracone,,,10.07,10.08,,,14.6,,,,,1.000993049,,0.690410959,,,,,,,,,,,,,
FMNH 7614,Odocoileus virginianus,,10.2.4,Grassland,340,couesi,Mexico,chihuahua Casas grandes,M,1,metaconid,1,metaconid,1,,,0,entoconid,0,,,1,1,metaconid,1,metacone,1,metacone,1,metacone,1,metacone,0,paracone,0,paracone,8.46,11.11,9.2,10.26,7.84,7.53,15.47,,18.38,,1.313238771,1.115217391,0.960459184,0.663219134,,,,,,,,,,,,,
FMNH 78422,Odocoileus virginianus,31-Dec-50,,Mixed Woodlands,40,peruvianus,peru,"puno, sandia, la pachetaq, w of sandia",M,,,,,,1,metaconid,1,metaconid,1,1,metaconid,1,1,metaconid,,,,,1,paracone,1,paracone,1,paracone,1,paracone,8.74,11.82,7.82,10.54,8,8.1,13.23,,17.18,,1.352402746,1.347826087,1.0125,0.796674225,,,,,,,,,,,,,
FMNH 87873,Odocoileus virginianus,24-Apr-57,,Tropical Mountains,,,colombia ,"metam san juan de aramam los micos, 400 m ",M,,,,,,1,metaconid,1,Metaconid,1,1,metaconid,1,1,metaconid,,,,,1,paracone,1,paracone,0,paracone,1,paracone,8.65,10.46,8.52,10.06,7.95,7.29,13.71,,17.77,,1.209248555,1.180751174,0.916981132,,30.4,28.73,229.5,36.34,41.93,74.14,64.55,43.78,28.58,20.7,178.54,94.6,
FMNH 9931,Odocoileus hemionus ,4-Aug-02,11.1.1,Open Woodlands,548,fuliginatus,Mexico,"baja california, san quintin",M,1,metaconid,,,1,1,entoconid,,,1,1,entoconid,,1,,,,,,,,,,,,,,8.73,11.79,9.47,10.63,8.51,9.01,14.29,,19.56,,1.350515464,1.12249208,1.058754407,0.743876837,30.7,31.28,273.66,48.81,56.13,84.06,73.05,45.42,29.34,22.08,200.92,109.97,
FMNH 9933,Odocoileus hemionus ,29-Sep-02,11.1.3,Mixed Woodlands,525,fuliginatus,mexico,"baja california, San Pedro Martir Mts, Vallecitos",F,,,,,,2,metaconid,2,metaconid,2,1,metaconid,1,1,metaconid,,,,,,,,,,,,,9.45,10.65,10.04,8.27,,,15.7,,21.18,,1.126984127,0.823705179,,0.526751592,32.49,31.3,270.72,51.9,45.95,91.01,76.91,48.62,30.13,23.25,213.23,105.47,old
FMNH 9935,Odocoileus hemionus ,29-Sep-02,11.1.3,Mixed Woodlands,525,fuliginatus,Mexico,"baja california, San Pedro Martir Mts, Vallecitos",F,1,metaconid,2,metaconid,1.5,1,metaconid,1,metaconid,1,1,metaconid,1,1,metaconid,2,paracone,2,paracone,1,paracone,1,paracone,1,paracone,1,paracone,8.93,11.65,9.81,10.15,8.55,7.91,16.25,,20.51,,1.304591265,1.034658512,0.925146199,0.624615385,32.27,34.15,248.22,44.43,47.96,77.11,61.5,50.22,29.78,22.02,191.38,102.06,
FMNH 9937,Odocoileus hemionus ,23-Sep-02,11.1.3,Mixed Woodlands,525,fuliginatus,Mexico,"baja california, San Pedro Martir Mts, Vallecitos",F,1,metaconid,1,metaconid,1,0,entoconid,1,entoconid,0.5,0,ento,0,0,metaconid,1,paracone,1,paracone,1,paracone,1,paracone,1,paracone,1,paracone,9.41,12.39,9.83,10.47,8.31,8.52,16.5,,21.71,,1.316684378,1.065106816,1.025270758,0.634545455,33.33,34.56,275.76,48.54,50.52,88.01,72.43,51.9,33.03,21.72,216.03,104.58,
FMNH 9940,Odocoileus hemionus ,4-Jul-02,11.1.3,Mixed Woodlands,525,fuliginatus,Mexico,"baja. California, Parral",F,0,entoconid,,,0,1,metaconid,1,metaconid,1,0,entoconid,1,0.5,metaconid,0,metacone,1,metacone,1,metacone,1,paracone,1,paracone,,,,,,,,,15.45,,17.89,,,,,0,38.37,36.1,48.1,45.39,44.97,74.85,57.73,55.72,34.66,19.68,193.17,91.85,
FMNH 9942,Odocoileus hemionus ,2-Sep-02,11.1.3,Mixed Woodlands,525,fuliginatus,Mexico,"baja california, San Pedro Martir Mts, Santa Eulalia",F,1,metaconid,1,entoconid,1,0,entoconid,1,metaconid,0.5,1,metaconid,1,1,metaconid,1,paracone,1,paracone,1,met,1,met,0,met,1,metacone,9.18,14.87,9.32,12.99,8.9,10.99,15.16,,21.33,,1.619825708,1.393776824,1.234831461,0.856860158,34.45,30.4,261.98,53.34,50.66,84.27,69.69,48.74,29.71,22.3,198.88,102.18,
UF 12808,Odocoileus virginianus,,8.5.3,Wet Plains,1338,,FL,Marion county,M,,,,,,,,1,metaconid,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.62,31.98,275.45,39.99,48.79,82.86,71.4,49.62,33.52,22.99,204.09,103.97,
UF 13489,Odocoileus virginianus,,,,,,FL,,F,1,entoconid,1,entoconid,1,1,entoconid,1,entoconid,1,1,metaconid,1,1,metaconid,1,metacone,1,metacone,1,metacone,1,metacone,1,paracone,1,paracone,10.39,10.49,10.33,10.8,9.88,8.36,17.15,16.67,20.38,22.11,1.00962464,1.04549855,0.84615385,0.629737609,32.39,32.32,267.82,36.36,45.03,84.48,,51.13,28.75,17.99,,97.06,
UF 20752,Odocoileus virginianus ,,15.4.1,Wet Plains,1338,clavium,FL,Monroe county,M,1,metaconid,,,1,1,metaconid,1,metaconid,1,1,metaconid,1,1,metaconid,1,paracone,1,paracone,1,paracone,1,paracone,0,paracone,0,paracone,7.5,10.3,8.2,9.7,6.79,7.39,13,,16.44,,1.37333333,1.18292683,1.08836524,0.746153846,,26.48,,,43.16,,65.03,41.77,24.55,16.05,189,87.7133.37,
UF 24017,Odocoileus virginianus,,15.4.1,Wet Plains,1338,,FL,Collier county,m,1,metaconid,0,metaconid,0.5,1,metaconid,1,metaconid,1,,,1,1,metaconid,,,,,,,,,1,paracone,1,paracone,10.79,12.06,11.07,11.95,9.5,8.43,15.82,16.58,20.86,21.25,1.11770158,1.07949413,0.88736842,0.755372946,,,,,,,,,,,,,
UF 25430,Odocoileus virginianus,,15.4.1,Wet Plains,1338,,FL,Collier county,f,,,,,,,,,,,,,,,,,,,,2,paracone,2,paracone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UF 30365,Odocoileus virginianus,,5.3.3,Closed Woodlands,1082,,PA,Pike county,,2.5,entoconid,2.5,entoconid,2.5,2,entoconid,2,entoconid,2,2,entoconid,2,2,entoconid,,,2,metacone,,,2,paracone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UF 3262,Odocoileus virginianus,,8.5.3,Wet Plains,1338,,FL,Putnam county,M,,,1,metaconid,1,,,1,metaconid,1,,,1,1,metaconid,1,paracone,1,paracone,0,paracone,1,metacone,0,metacone,1,paracone,10.69,10.32,10.7,9.54,9.49,7.84,,15.71,,22.11,0.96538821,0.89158879,0.82613277,,,,,,,,,,,,,,
UF 3268,Odocoileus virginianus,,8.5.3,Wet Plains,1338,,FL,Levy county,,,,,,,,,,,,,,,,,,,1,paracone,2,paracone,1,paracone,1,paracone,1,paracone,,,,,,,,,,,,,,,33.81,34.05,,37.5,48.27,,81.15,48.69,31.17,26.38,219.8,99.56,
UF 4991,Odocoileus virginianus,,15.4.1,Wet Plains,1338,,FL,Collier county,F,1,metaconid,,,1,1,entoconid,1,entoconid,1,1,metaconid,1,1,metaconid,1,metacone,1,metacone,1,paracone,1,metacone,1,paracone,1,paracone,8.9,13.51,9.55,10.38,8.72,8.58,16.1,17.22,22.29,23.2,1.51797753,1.08691099,0.98394495,0.644720497,35.51,32.97,261.33,34.88,43.41,81.78,70.99,25.57,17.32,17.25,202.35,92.05,
UF 4992,Odocoileus virginianus,,15.4.1,Wet Plains,1338,,FL,Collier county,M,,,1,metaconid,1,,,1,metaconid,1,,,1,1,metaconid,,,,,1,paracone,1,metacone,0,metacone,0,metacone,,,,,,,,14.95,,20.12,,,,,,,,,,,,,,,,,
UF 4993,Odocoileus virginianus,,15.4.1,Wet Plains,1338,,FL,Collier county,F,,,0,entoconid,0,1,metaconid,1,metaconid,1,0,metaconid,0,0,metaconid,0,metacone,0,metacone,1,paracone,1,paracone,1,paracone,1,paracone,9.24,11.83,8.62,11.68,7.95,8.73,14.32,14.95,18.97,18.67,1.28030303,1.3549884,1.09811321,0.815642458,30.53,30.34,245.21,30.93,43.51,73.87,66.43,48.46,29.1,16.66,196.19,92.7,
UF 4994,Odocoileus virginianus,,15.4.1,Wet Plains,1338,,FL,Collier county,F,1,entoconid,,,1,1,entoconid,,,1,1,entoconid,1,1,entoconid,1,paracone,1,metacone,0,paracone,1,metacone,0,metacone,0,metacone,9.42,8.41,9.89,7.76,8.66,7.8,,,,,0.89278132,0.78463094,0.90069284,,29.75,32,251.34,34.77,43.53,79.81,65.09,48.19,28.99,20.1,44.56,94.21,
UF 4995,Odocoileus virginianus,,15.4.1,Wet Plains,1338,,FL,Collier county,M,,,,,,1,metaconid,,,1,0,metaconid,1,0.5,metaconid,1,paracone,1,paracone,0,metacone,1,metacone,0,paracone,0,metacone,9.55,11.24,9.77,10.46,8.17,7.18,,,,,1.17696335,1.07062436,0.87882497,,34.13,32.11,279.56,38.48,44.77,94.7,79.08,47.18,28.01,22.27,209.99,,
UF 4998,Odocoileus virginianus,,15.4.1,Wet Plains,1338,,FL,Collier county,F,3,metaconid,3,metaconid,3,1,metaconid,1,metaconid,1,1,metaconid,1,1,entoconid,1,metacone,1,metacone,1,metacone,1,metacone,1,paracone,1,paracone,9.63,8.78,9.18,8.92,7.98,7.02,13.68,13.93,,,0.91173416,0.97167756,0.87969925,0.652046784,,,,,,,,,,,,,
UF 5973,Odocoileus virginianus,,8.5.3,Wet Plains,1338,,FL,Flagler county,m,1,metaconid,1,metaconid,1,0,metaconid,,,0,0,metaconid,0,0,metaconid,1,metacone,1,metacone,1,paracone,0,metacone,0,metacone,0,metacone,9,11.49,9.63,10.69,8.98,7.81,16.39,,21.81,,1.27666667,1.11007269,0.86971047,0.652226968,33.39,34.59,,,44.86,,72.01,52.84,25.93,22.68,,,
UF 8139,Odocoileus virginianus,,5.3.1,Closed Woodlands,1200,,ME,Maine,,1,metaconid,0,metaconid,0.5,0,entoconid,0,metaconid,0,0,entoconid,0,0,metaconid,0,paracone,0,paracone,0,paracone,0,paracone,0,paracone,0,paracone,10.83,12.72,10.61,11.16,9.32,8.87,16.17,,23.33,,1.17451524,1.05183789,0.95171674,0.690166976,,,,,,,,,,,,,
UF 8651,Odocoileus virginianus ,,15.4.1,Wet Plains,1338,clavium,FL,Monroe county,,1,metaconid,,,1,1,metaconid,,,1,1,metaconid,,1,,,,,,,,,,,,,,8.79,10.39,9.4,11.78,7.77,7.88,14.69,,17.26,,1.18202503,1.25319149,1.01415701,0.801906059,,,,,,,,43.07,25.19,15.37,,85.58,
UF 8651,Odocoileus virginianus ,,15.4.1,Wet Plains,1338,clavium,FL,Monroe county,,,,1,metaconid,1,,,1,metaconid,1,,,1,1,metaconid,,,,,,,,,,,,,8.19,9.62,8.66,9.96,8.15,9.7,,14.89,,15.94,1.17460317,1.15011547,1.19018405,,,27.81,,,,,64.17,45.3,23.96,16.16,177.56,89.11,
UF 8651,Odocoileus virginianus ,,15.4.1,Wet Plains,1338,clavium,FL,Monroe county,,1,entoconid,,,1,0,entoconid,,,0,0,metaconid,,0,,,,,,,,,,,,,,7.69,9.71,8.13,10.5,7.16,8.91,13.8,,14.82,,1.2626788,1.29151292,1.24441341,0.760869565,,38.66,,,,,,46.99,24.66,15.72,,74.02,
UF 8651,Odocoileus virginianus ,,15.4.1,Wet Plains,1338,clavium,FL,Monroe county,,,,,,,,,,,,,,,,,1,metacone,1,metacone,1,paracone,1,paracone,,,,,,,11.27,8.79,,,11.76,,,,,0.77994676,,0.74744898,20.23,,,,40.39,,,,,,,,
UF 8724,Odocoileus virginianus,,15.4.1,Wet Plains,1338,,FL,Collier county,,,,1,metaconid,1,0,metaconid,0,metaconid,0,0,metaconid,0,0,metaconid,,,,,,,,,,,,,,,,,,,14.14,14.64,,,,,,0,,,,,,,,,,,,,
UF 8724,Odocoileus virginianus,,15.4.1,Wet Plains,1338,,FL,Collier county,,,,0,metaconid,0,0,entoconid,1,entoconid,0.5,0,entoconid,0,0,metaconid,,,,,,,,,,,,,9.4,10.19,8.56,10.49,7.28,8.3,14.38,14.45,,,1.08404255,1.22546729,1.14010989,0.729485396,,,,,,,,,,,,,
UF 8724,Odocoileus virginianus,,15.4.1,Wet Plains,1338,,FL,Collier county,,1,metaconid,1,metaconid,1,0,entoconid,1,entoconid,0.5,0,entoconid,0,0,entoconid,,,,,,,,,,,,,10.84,7.93,10.18,9.45,8.4,7.14,14.19,14.38,,,0.73154982,0.92829077,0.85,0.665961945,,,,,,,,,,,,,
UF 8724,Odocoileus virginianus,,15.4.1,Wet Plains,1338,,FL,Collier county,,1,entoconid,1,entoconid,1,1,entoconid,1,entoconid,1,0,entoconid,1,0.5,entoconid,,,,,,,,,,,,,10.13,8.9,9.9,8.96,8.32,7.75,15.49,15.39,,,0.87857848,0.90505051,0.93149038,0.578437702,,,,,,,,,,,,,
UF 8724,Odocoileus virginianus,,15.4.1,Wet Plains,1338,,FL,Collier county,,,,1,entoconid,1,,,1,metaconid,1,1,metaconid,1,1,entoconid,,,,,,,,,,,,,10.09,9.22,11.23,11.16,9.2,7.96,,16.08,,,0.91377602,0.9937667,0.86521739,,,,,,,,,,,,,,
UF 8724,Odocoileus virginianus,,15.4.1,Wet Plains,1338,,FL,Collier county,,1,entoconid,,,1,1,metaconid,1,metaconid,1,1,metaconid,0,0.5,metaconid,,,,,,,,,,,,,10.06,9.83,10.25,9.67,8.17,7.5,16.04,,,,0.97713718,0.94341463,0.91799266,0.60286783,,,,,,,,,,,,,
UF 8724,Odocoileus virginianus,,15.4.1,Wet Plains,1338,,FL,Collier county,,0,metaconid,0,entoconid,0,0,entoconid,1,entoconid,0.5,0,metaconid,0,0,metaconid,,,,,,,,,,,,,11.25,12.37,11.35,10.51,9.76,9.01,15.89,15.2,,,1.09955556,0.92599119,0.92315574,0.661422278,,,,,,,,,,,,,
UF 8724,Odocoileus virginianus,,15.4.1,Wet Plains,1338,,FL,Collier county,,,,1,metaconid,1,,,0,metaconid,0,,,0,0,metaconid,,,,,,,,,,,,,10.9,10.76,11.09,11.46,9.74,10.15,,16.17,,,0.98715596,1.03336339,1.04209446,,,,,,,,,,,,,,
UF 8724,Odocoileus virginianus,,15.4.1,Wet Plains,1338,,FL,Collier county,,1,metaconid,1,metaconid,1,1,metaconid,1,metaconid,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UF 8724,Odocoileus virginianus,,15.4.1,Wet Plains,1338,,FL,Collier county,,1,metaconid,1,entoconid,1,0,metaconid,0,metaconid,0,1,metaconid,1,1,metaconid,,,,,,,,,,,,,10.4,9.96,9.37,10.76,8.13,7.32,14.24,,,,0.95769231,1.14834578,0.900369,0.755617978,,,,,,,,,,,,,
